,pKi
2139,5.58
2140,5.37
2141,5.86
2142,7.18
2143,4.89
2144,4.24
2145,4.32
2146,4.6
2147,5.14
2148,5.19
2149,7.4
2150,7.5
2151,8.77
2152,8.92
2153,7.22
2154,8.24
2155,9.51
2156,6.46
2157,7.55
2158,8.48
2159,8.51
2160,8.82
2161,9.07
2162,8.68
2163,8.75
2164,8.08
2165,8.54
2166,8.65
2167,8.27
2168,7.12
2169,8.82
2170,6.17
2171,5.45
2172,7.6
2173,6.82
2174,7.75
2175,8.06
2176,6.62
2177,8.34
2178,7.94
2179,8.02
2180,6.19
2181,7.97
2182,5.71
2183,5.71
2184,5.71
2185,6.77
2186,6.16
2187,8.4
2188,7.57
2189,6.1
2190,5.46
2191,6.17
2192,6.43
2193,7.28
2194,7.6
2195,7.69
2196,6.48
2197,6.99
2198,7.55
2199,7.57
2200,8.24
2201,8.67
2202,7.95
2203,8.96
2204,8.12
2205,7.55
2206,8.77
2207,8.47
2208,10.11
2209,7.08
2210,6.05
2211,7.93
2212,7.96
2213,8.44
2214,8.37
2215,6.71
2216,7.04
2217,7.07
2218,7.34
2219,6.64
2220,6.76
2221,6.55
2222,8.3
2223,8.52
2224,5.7
2225,5.52
2226,5.75
2227,5.05
2228,6.22
2229,6.69
2230,9.48
2231,8.42
2232,7.51
2233,6.8
2234,7.55
2235,6.05
2236,6.65
2237,6.94
2238,7.62
2239,6.97
2240,7.02
2241,6.16
2242,6.2
2243,6.34
2244,6.52
2245,6.89
2246,5.31
2247,6.28
2248,6.45
2249,6.85
2250,5.39
2251,5.25
2252,6.19
2253,6.61
2254,5.71
2255,6.98
2256,5.4
2257,5.94
2258,6.37
2259,8.13
2260,6.71
2261,7.21
2262,5.03
2263,4.47
2264,6.68
2265,7.09
2266,7.01
2267,7.05
2268,7.52
2269,6.0
2270,6.37
2271,6.12
2272,8.77
2273,8.35
2274,8.0
2275,7.47
2276,9.6
2277,9.38
2278,7.92
2279,8.29
2280,8.67
2281,9.62
2282,5.2
2283,7.21
2284,7.11
2285,6.5
2286,6.22
2287,6.66
2288,7.55
2289,5.92
2290,7.64
2291,5.79
2292,5.5
2293,5.54
2294,5.77
2295,6.07
2296,6.28
2297,6.51
2298,6.58
2299,7.4
2300,5.82
2301,5.17
2302,5.23
2303,4.98
2304,5.37
2305,6.15
2306,7.38
2307,7.28
2308,5.7
2309,5.12
2310,5.4
2311,5.36
2312,5.61
2313,5.41
2314,5.57
2315,5.52
2316,5.43
2317,6.34
2318,7.08
2319,6.46
2320,7.14
2321,6.59
2322,8.4
2323,6.54
2324,7.47
2325,8.52
2326,8.52
2327,6.77
2328,6.73
2329,6.86
2330,6.58
2331,7.92
2332,9.0
2333,8.0
2334,7.68
2335,7.48
2336,7.75
2337,8.22
2338,7.77
2339,6.11
2340,5.86
2341,7.19
2342,8.14
2343,6.97
2344,7.44
2345,6.89
2346,9.7
2347,6.75
2348,9.7
2349,9.3
2350,8.3
2351,6.04
2352,5.82
2353,8.57
