,pKi
532,6.49
533,7.55
534,6.33
535,6.03
536,5.02
537,7.82
538,8.48
539,6.98
540,7.3
541,6.99
542,6.67
543,5.19
544,7.35
545,5.43
546,5.12
547,4.47
548,7.06
549,5.73
550,6.08
551,5.81
552,6.32
553,6.82
554,8.19
555,6.48
556,6.79
557,7.04
558,6.84
559,6.56
560,7.64
561,6.84
562,7.16
563,6.51
564,7.11
565,7.03
566,6.72
567,6.39
568,5.88
569,6.37
570,5.4
571,5.8
572,6.38
573,6.36
574,5.9
575,7.7
576,6.38
577,8.78
578,8.13
579,5.9
580,5.4
581,6.36
582,8.05
583,5.8
584,7.96
585,7.68
586,7.15
587,7.49
588,7.61
589,7.14
590,7.8
591,7.5
592,6.71
593,7.83
594,7.88
595,7.21
596,7.68
597,7.43
598,6.94
599,5.64
600,5.29
601,5.89
602,5.92
603,5.42
604,5.43
605,5.89
606,5.0
607,5.0
608,5.35
609,5.8
610,5.58
611,5.64
612,5.34
613,5.12
614,5.59
615,5.13
616,4.94
617,6.32
618,5.6
619,5.26
620,6.38
621,5.42
622,5.53
623,5.47
624,5.03
625,5.64
626,5.27
627,5.56
628,6.94
629,5.27
630,7.59
631,7.5
632,6.91
633,6.85
634,7.41
635,7.13
636,6.68
637,5.44
638,5.92
639,4.91
640,5.19
641,4.75
642,7.62
643,5.81
644,6.39
645,7.12
646,7.05
647,6.5
648,6.69
649,5.59
650,7.27
651,7.48
652,7.07
653,8.4
654,8.22
655,6.45
656,9.52
657,9.7
658,9.52
659,8.24
660,9.05
661,9.0
662,9.0
663,9.3
664,9.3
665,9.15
666,9.52
667,9.52
668,9.4
669,8.43
670,6.46
671,6.7
672,5.69
673,6.33
674,5.96
675,6.01
676,6.5
677,5.65
678,5.49
679,6.61
680,6.82
681,6.99
682,6.48
683,8.12
684,8.46
685,8.32
686,7.7
687,8.59
688,8.43
689,7.76
690,8.66
691,8.59
692,8.02
693,8.46
694,8.21
695,7.1
696,7.7
697,6.14
698,6.27
699,5.88
700,6.66
701,5.47
702,6.92
703,6.44
704,7.7
705,6.75
706,6.68
707,7.7
708,6.33
709,6.27
710,5.75
711,5.62
712,5.74
713,6.57
714,5.51
715,5.75
716,6.35
717,5.16
718,6.3
719,6.48
720,6.2
721,9.0
722,8.02
723,8.52
724,8.11
725,9.1
726,9.4
727,9.3
728,8.34
729,9.4
730,9.7
731,9.22
732,8.0
733,4.95
734,5.42
735,5.69
736,5.92
737,5.08
738,5.1
739,5.05
740,5.77
741,5.79
742,6.2
743,5.99
744,6.72
745,6.39
746,6.57
747,6.7
748,6.82
749,6.93
750,7.05
751,7.06
752,6.89
753,7.24
754,6.8
755,6.89
756,6.45
757,7.33
758,7.15
759,8.18
760,6.32
761,7.08
762,7.92
763,8.12
764,7.72
765,8.08
766,7.19
767,7.66
768,7.72
769,7.3
770,6.68
771,6.7
772,6.13
773,6.73
774,6.92
775,5.78
776,6.27
777,6.52
778,5.17
779,5.93
780,7.24
781,5.85
782,5.64
783,6.2
784,5.16
785,5.64
786,6.34
787,5.0
788,6.38
789,5.7
790,5.82
791,6.33
792,5.23
793,5.64
794,6.7
795,5.82
796,5.48
797,6.23
798,6.13
799,6.15
800,6.19
801,7.1
802,6.76
803,6.34
804,5.97
805,7.19
806,6.61
807,7.06
808,7.12
809,6.75
810,6.93
811,7.42
812,7.26
813,7.04
814,6.07
