,descriptors,random_forest,svm
0,pKi,0.739325574048611,0.7934635648923551
1,fsp3,0.04403989752992295,0.06438874327232462
2,n_lipinski_hba,0.5529716940359378,0.5045715443367023
3,n_lipinski_hbd,0.20027233561372465,0.22906066252215035
4,n_rings,0.3733946817711795,0.3725972898725145
5,n_hetero_atoms,0.6595744210214618,0.5890841628037069
6,n_heavy_atoms,2.21577491893581,2.597579276696109
7,n_rotatable_bonds,0.7287246969827195,0.7808628040182175
8,tpsa,7.191903227596302,13.543161642880563
9,qed,0.06738606957080148,0.07813145917289488
10,clogp,0.6292274173296046,0.6038289372157575
11,sas,0.1986290203400007,0.18616188341298645
12,n_aliphatic_carbocycles,0.17760858547665243,0.2479759162874707
13,n_aliphatic_heterocyles,0.1705741020494557,0.20356142840450073
14,n_aliphatic_rings,0.2466878665920222,0.2810086240494201
15,n_aromatic_carbocycles,0.3716329611714874,0.3759420972925439
16,n_aromatic_heterocyles,0.32814529386286273,0.3461131160525712
17,n_aromatic_rings,0.37465512634675985,0.36434226167816663
18,n_saturated_carbocycles,0.1517909474493001,0.2292262976665871
19,n_saturated_heterocyles,0.13688993242264055,0.15452926349151624
20,n_saturated_rings,0.20336124948047582,0.2296929512658054
