,molecule_chembl_id,Ki,units,pKi,smiles
0,CHEMBL132806,57.0,nM,7.24,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1
1,CHEMBL336217,42.0,nM,7.38,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1
2,CHEMBL134566,60.0,nM,7.22,O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
3,CHEMBL435022,38.0,nM,7.42,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1
4,CHEMBL341376,423.0,nM,6.37,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1
5,CHEMBL138593,45.0,nM,7.35,O=C(COc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
6,CHEMBL324735,381.0,nM,6.42,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1
7,CHEMBL16867,0.31,nM,9.51,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
8,CHEMBL335950,800.0,nM,6.1,O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
9,CHEMBL541455,60.0,nM,7.22,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
10,CHEMBL16687,1.7,nM,8.77,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
11,CHEMBL341777,40.0,nM,7.4,O=C(COc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
12,CHEMBL135719,55.0,nM,7.26,O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
13,CHEMBL61259,600.0,nM,6.22,CCn1c(C#Cc2ccccc2)nc2c(N)ncnc21
14,CHEMBL287321,22500.0,nM,4.65,Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12
15,CHEMBL464859,20.0,nM,7.7,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
16,CHEMBL3350496,46600.0,nM,4.33,Nc1ncnc2c1nc(/C=C/C(=O)c1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
17,CHEMBL113189,277.0,nM,6.56,CCN(CC)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
18,CHEMBL112195,35.0,nM,7.46,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccc(Br)o3)nc12
19,CHEMBL113541,23.0,nM,7.64,CN(C)C(=O)CN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
20,CHEMBL261453,163.0,nM,6.79,CNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
21,CHEMBL258535,64.0,nM,7.19,CCNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
22,CHEMBL574597,8530.0,nM,5.07,CNc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
23,CHEMBL109845,27.0,nM,7.57,Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccco3)nn12
24,CHEMBL2092941,7.0,nM,8.15,Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
25,CHEMBL110646,61.0,nM,7.21,COC[C@H]1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
26,CHEMBL113228,14.0,nM,7.85,Cc1ccc(-c2nc3cc(C(=O)N4CCCCC4)cc(N)n3n2)o1
27,CHEMBL437842,267.0,nM,6.57,CCCCC#Cc1nc(NCC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
28,CHEMBL607759,4450.0,nM,5.35,CCNc1nc(C#Cc2ccccc2)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O
29,CHEMBL2094083,3.1,nM,8.51,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC(O)c4ccccc4)nc32)[C@H](O)[C@@H]1O
30,CHEMBL258534,39.0,nM,7.41,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#C[C@H](O)c4ccccc4)nc32)[C@H](O)[C@@H]1O
31,CHEMBL432624,76.0,nM,7.12,Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCC4)cn3n2)o1
32,CHEMBL113967,2.0,nM,8.7,CC1CCCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
33,CHEMBL113542,15.0,nM,7.82,CC1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1
34,CHEMBL112740,50.0,nM,7.3,CN(CCc1ccccc1)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
35,CHEMBL112631,3.0,nM,8.52,CN(C)C(=O)CN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
36,CHEMBL323945,3.0,nM,8.52,CC1CCCN(C(=O)c2cc(N)n3nc(-c4ccc(Br)o4)nc3c2)C1
37,CHEMBL2092787,96.0,nM,7.02,CC(C)Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
38,CHEMBL262363,1.8,nM,8.74,Nc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
39,CHEMBL325993,62.0,nM,7.21,CC1CCCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
40,CHEMBL325646,57.0,nM,7.24,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccccn3)nn12
41,CHEMBL2092786,273.0,nM,6.56,CNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
42,CHEMBL325350,9.0,nM,8.05,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccc(Br)o3)nn12
43,CHEMBL109499,11.0,nM,7.96,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccco3)nn12
44,CHEMBL309618,2140.0,nM,5.67,CCOC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1N1CCN(C)CC1
45,CHEMBL410115,1560.0,nM,5.81,CNc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
46,CHEMBL112773,2.0,nM,8.7,COC[C@H]1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
47,CHEMBL2092788,94.0,nM,7.03,CCNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
48,CHEMBL438418,324.0,nM,6.49,CC(C)Nc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
49,CHEMBL113376,27.0,nM,7.57,Nc1cc(C(=O)N2CCCCC2)cn2nc(-c3ccc(Br)o3)nc12
50,CHEMBL110698,6.0,nM,8.22,CCCN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
51,CHEMBL114405,104.0,nM,6.98,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3cccs3)nn12
52,CHEMBL17127,0.6,nM,9.22,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12
53,CHEMBL408918,29.0,nM,7.54,Nc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
54,CHEMBL109753,190.0,nM,6.72,Nc1cc(C(=O)N2CCCCC2)cn2nc(-c3ccco3)nc12
55,CHEMBL410095,1181.0,nM,5.93,CCNc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
56,CHEMBL110074,4.0,nM,8.4,CC1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
57,CHEMBL324077,6.0,nM,8.22,Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccc(Br)o3)nn12
58,CHEMBL323621,4.0,nM,8.4,CCN(CCc1ccccn1)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
59,CHEMBL420307,5.0,nM,8.3,CN(CCc1ccccc1)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
60,CHEMBL260563,1230.0,nM,5.91,CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
61,CHEMBL112897,40.0,nM,7.4,CCN(CC)C(=O)C1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1
62,CHEMBL112249,192.0,nM,6.72,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccccn3)nc12
63,CHEMBL320349,12.0,nM,7.92,COC[C@@H]1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
64,CHEMBL3350613,6.4,nM,8.19,CC(C)(C)OC(=O)C1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1
65,CHEMBL224874,2.0,nM,8.7,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#C[C@@H](O)c4ccccc4)nc32)[C@H](O)[C@@H]1O
66,CHEMBL113009,44.0,nM,7.36,CCCN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
67,CHEMBL223270,620.0,nM,6.21,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O
68,CHEMBL114185,27.0,nM,7.57,CC1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
69,CHEMBL323754,73.0,nM,7.14,Nc1cc(C(=O)N2CCSCC2)cn2nc(-c3ccc(Br)o3)nc12
70,CHEMBL375190,363.0,nM,6.44,Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
71,CHEMBL110047,16.0,nM,7.8,COC[C@@H]1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
72,CHEMBL419191,57.0,nM,7.24,Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCCC4)cn3n2)o1
73,CHEMBL324591,17.0,nM,7.77,Cc1ccc(-c2nc3cc(C(=O)N4CCCC4)cc(N)n3n2)o1
74,CHEMBL113142,0.8,nM,9.1,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
75,CHEMBL319387,5.7,nM,8.24,CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
76,CHEMBL325237,9.0,nM,8.05,Nc1cc(C(=O)N2CCSCC2)cc2nc(-c3ccc(Br)o3)nn12
77,CHEMBL261623,196.0,nM,6.71,CCCCC#Cc1nc(NC(C)C)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
78,CHEMBL433162,197.0,nM,6.71,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3cccs3)nc12
79,CHEMBL110069,3.0,nM,8.52,CCN(CC)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
80,CHEMBL332718,8.0,nM,8.1,CCN(CC)C(=O)C1CCCN(C(=O)c2cc(N)n3nc(-c4ccc(Br)o4)nc3c2)C1
81,CHEMBL2113551,1100.0,nM,5.96,CC(C)Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
82,CHEMBL259938,43.0,nM,7.37,CC(C)Nc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
83,CHEMBL113468,76.0,nM,7.12,CCN(CCc1ccccn1)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
84,CHEMBL113412,57.0,nM,7.24,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccco3)nc12
85,CHEMBL611562,6100.0,nM,5.21,CCNC(=O)[C@H]1OC(n2cnc3c(NCCCCCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)[C@H](O)[C@@H]1O
86,CHEMBL611273,6083.0,nM,5.22,CCNC(=O)[C@H]1OC(n2cnc3c(NCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)[C@H](O)[C@@H]1O
87,CHEMBL611561,5096.0,nM,5.29,CCNC(=O)[C@H]1OC(n2cnc3c(NCCCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)[C@H](O)[C@@H]1O
88,CHEMBL611552,6750.0,nM,5.17,CCNC(=O)[C@H]1OC(n2cnc3c(NCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)[C@H](O)[C@@H]1O
89,CHEMBL329294,1400.0,nM,5.85,COc1ccc2c(O)cc(-c3ccccc3)nc2n1
90,CHEMBL97757,170.0,nM,6.77,Oc1cc(-c2ccccc2)nc2nc(F)ccc12
91,CHEMBL97760,100.0,nM,7.0,Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12
92,CHEMBL94538,1800.0,nM,5.75,Cc1ccc2c(NN)cc(-c3ccccc3)nc2n1
93,CHEMBL321769,580.0,nM,6.24,Cc1ccc2c(O)cc(-c3cccc([N+](=O)[O-])c3)nc2n1
94,CHEMBL102429,2300.0,nM,5.64,CN(C)c1ccc2c(O)cc(-c3ccccc3)nc2n1
95,CHEMBL183,200.0,nM,6.7,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O
96,CHEMBL313864,630.0,nM,6.2,Cc1ccc2c(O)cc(-c3ccc(F)cc3)nc2n1
97,CHEMBL97665,7000.0,nM,5.16,Cc1ccc2c(N(C)C)cc(-c3ccccc3)nc2n1
98,CHEMBL418797,2500.0,nM,5.6,Oc1cc(-c2ccccc2)nc2nc(NC3CCCCC3)ccc12
99,CHEMBL103553,1800.0,nM,5.75,Cc1ccc2c(O)ccnc2n1
100,CHEMBL104999,500.0,nM,6.3,Cc1ccc2c(O)cc(-c3ccc(N)cc3)nc2n1
101,CHEMBL97896,1900.0,nM,5.72,Oc1cc(-c2ccccc2)nc2nc(Oc3ccccc3)ccc12
102,CHEMBL323288,7200.0,nM,5.14,CCOc1cc(-c2ccccc2)nc2c1ccc(=O)n2CC
103,CHEMBL102753,1400.0,nM,5.85,CCOc1ccc2c(=O)cc(-c3ccccc3)n(CC)c2n1
104,CHEMBL104998,2300.0,nM,5.64,CC(=O)Nc1ccc(-c2cc(O)c3ccc(C)nc3n2)cc1
105,CHEMBL328214,6500.0,nM,5.19,Cn1c(=O)ccc2c(O)cc(-c3ccccc3)nc21
106,CHEMBL103150,900.0,nM,6.05,CCCc1cc(O)c2ccc(C)nc2n1
107,CHEMBL97687,66.0,nM,7.18,Oc1cc(-c2ccccc2)nc2nc(Br)ccc12
108,CHEMBL329293,1250.0,nM,5.9,Cc1ccc2c(S)cc(-c3ccccc3)nc2n1
109,CHEMBL97549,460.0,nM,6.34,Cc1ccc2c(O)cc(-c3ccccc3)nc2n1
110,CHEMBL103559,2900.0,nM,5.54,CCOc1cc(-c2ccccc2)nc2nc(Br)ccc12
111,CHEMBL97624,830.0,nM,6.08,Cc1ccc2c(NC3CCCCC3)cc(-c3ccccc3)nc2n1
112,CHEMBL105000,10000.0,nM,5.0,CSc1cc(-c2ccccc2)nc2nc(C)ccc12
113,CHEMBL323303,230.0,nM,6.64,Cc1ccc2c(O)cc(-c3cccc(N)c3)nc2n1
114,CHEMBL321330,7500.0,nM,5.12,Cc1cc(O)c2ccc(N)nc2n1
115,CHEMBL97337,420.0,nM,6.38,Cc1ccc2c(N)cc(-c3ccccc3)nc2n1
116,CHEMBL97037,2000.0,nM,5.7,Oc1cc(-c2ccccc2)nc2ncccc12
117,CHEMBL97895,1500.0,nM,5.82,CCOc1ccc2c(O)cc(-c3ccccc3)nc2n1
118,CHEMBL316630,460.0,nM,6.34,Cc1ccc2c(O)cc(-c3ccc([N+](=O)[O-])cc3)nc2n1
119,CHEMBL95384,470.0,nM,6.33,Cc1ccc2c(O)cc(-c3ccccc3F)nc2n1
120,CHEMBL102430,5900.0,nM,5.23,Nc1ccc2c(O)cc(-c3ccccc3)nc2n1
121,CHEMBL100832,28900.0,nM,4.54,CCCn1c(=O)c2nn(-c3ccc(Cl)cc3N)nc2n(CCC)c1=O
122,CHEMBL200732,223.0,nM,6.65,CNC(=O)[C@H]1S[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O
123,CHEMBL101391,4500.0,nM,5.35,Cn1c(=O)c2c(nnn2C2CC3CCC2C3)n(C)c1=O
124,CHEMBL328812,46000.0,nM,4.34,Cn1c(=O)c2c(nnn2-c2ccc(Cl)cc2N)n(C)c1=O
125,CHEMBL323074,21700.0,nM,4.66,CCCn1c(=O)c2nn(C3CCCCC3)nc2n(CCC)c1=O
126,CHEMBL113,48000.0,nM,4.32,Cn1c(=O)c2c(ncn2C)n(C)c1=O
127,CHEMBL319555,8400.0,nM,5.08,Cn1c(=O)c2c(nnn2C2CCCCC2)n(C)c1=O
128,CHEMBL203357,158.0,nM,6.8,CNC(=O)[C@H]1S[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@H](O)[C@@H]1O
129,CHEMBL319534,49000.0,nM,4.31,Cn1c(=O)c2nn(C3CC4CCC3C4)nc2n(C)c1=O
130,CHEMBL101554,22900.0,nM,4.64,CCCn1c(=O)c2c(nnn2C2CCCCC2)n(CCC)c1=O
131,CHEMBL431733,5360.0,nM,5.27,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O
132,CHEMBL190,25000.0,nM,4.6,Cn1c(=O)c2[nH]cnc2n(C)c1=O
133,CHEMBL100810,52800.0,nM,4.28,Cn1nc2c(=O)n(C)c(=O)n(C)c2n1
134,CHEMBL100347,13000.0,nM,4.89,CCCn1c(=O)c2nn(C3CCCC3)nc2n(CCC)c1=O
135,CHEMBL100440,13500.0,nM,4.87,CCCn1c(=O)c2c(nnn2C2CCCCC2O)n(CCC)c1=O
136,CHEMBL201706,20.0,nM,7.7,CNC(=O)[C@H]1S[C@@H](n2cnc3c(NC)nc(Cl)nc32)[C@H](O)[C@@H]1O
137,CHEMBL101525,58000.0,nM,4.24,Cn1c(=O)c2nn(C3CCCC3)nc2n(C)c1=O
138,CHEMBL100346,10000.0,nM,5.0,CCCn1c(=O)c2c(nnn2C2CCCC2)n(CCC)c1=O
139,CHEMBL131457,0.16,nM,9.8,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(N[C@@H]4CCC[C@H]4O)nc32)[C@H](O)[C@@H]1O
140,CHEMBL131242,0.08,nM,10.1,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCN4CCCCC4)nc32)[C@H](O)[C@@H]1O.O=C(O)C(F)(F)F
141,CHEMBL435188,6.2,nM,8.21,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O
142,CHEMBL158507,2100.0,nM,5.68,CCCn1c(=O)c2nc(-c3ccccc3)[nH]c2n(CCC)c1=O
143,CHEMBL339522,39.0,nM,7.41,OC[C@H]1O[C@@H](n2cnc3c(NCCc4cccc(Cl)c4)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O
144,CHEMBL128176,5.1,nM,8.29,Nc1nc(NC2CCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
145,CHEMBL131175,36.0,nM,7.44,OC[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O
146,CHEMBL334336,0.8,nM,9.1,Nc1nc(N[C@@H]2CCC[C@H]2O)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
147,CHEMBL131535,1.8,nM,8.74,Nc1nc(N[C@H]2CCC[C@@H]2O)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
148,CHEMBL337080,0.05,nM,10.3,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(N[C@H]4CC[C@H](N)CC4)nc32)[C@H](O)[C@@H]1O.O=C(O)C(F)(F)F
149,CHEMBL131280,171.0,nM,6.77,OC[C@H]1O[C@@H](n2cnc3c(NC4CCC[C@@H]4O)nc(Cl)nc32)[C@H](O)[C@@H]1O
150,CHEMBL340674,2.2,nM,8.66,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O
151,CHEMBL336608,0.03,nM,10.52,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4c[nH]cn4)nc32)[C@H](O)[C@@H]1O
152,CHEMBL131534,85.0,nM,7.07,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NC(CC)CC)nc32)[C@H](O)[C@@H]1O
153,CHEMBL284969,17.0,nM,7.77,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O
154,CHEMBL446616,25.0,nM,7.6,OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc5ccccc45)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O
155,CHEMBL130830,0.1,nM,10.0,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N[C@@H]4CCC[C@H]4O)nc32)[C@H](O)[C@@H]1O
156,CHEMBL2113451,88.0,nM,7.06,NC(=O)/N=N/Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
157,CHEMBL416537,14.6,nM,7.84,Cc1cccc(-n2nc3c(N)nc4ccccc4n3c2=O)c1
158,CHEMBL416354,18.7,nM,7.73,Nc1cccc2c1nc(N)c1nn(-c3ccccc3)c(=O)n12
159,CHEMBL273578,85.8,nM,7.07,Cc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1
160,CHEMBL2113454,25.0,nM,7.6,Nc1nc(/N=N/NC(=O)Nc2nccs2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
161,CHEMBL2113446,25.0,nM,7.6,Nc1nc(/N=N/NC(=O)NCc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
162,CHEMBL2113445,45.0,nM,7.35,Nc1nc(/N=N/NC(=O)Nc2ccccc2Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
163,CHEMBL2113460,25.0,nM,7.6,Nc1nc(/N=N/NC(=O)Nc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
164,CHEMBL2113464,720.0,nM,6.14,Nc1nc(N=O)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
165,CHEMBL274267,1370.0,nM,5.86,O=c1n(-c2ccccc2)nc2c(NC3CCCCC3)nc3ccccc3n12
166,CHEMBL279870,66.0,nM,7.18,O=c1n(-c2cccc(F)c2)nc2c(NC3CCCCC3)nc3ccccc3n12
167,CHEMBL2113461,24.3,nM,7.61,O=C(N/N=N/c1nc(Nc2ccccc2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)Nc1ccccc1
168,CHEMBL2113456,980.0,nM,6.01,O=C(N/N=N/c1nc(NCC(c2ccccc2)c2ccccc2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)Nc1ccccc1
169,CHEMBL2113452,25.0,nM,7.6,Nc1nc(/N=N/NC(=O)NC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
170,CHEMBL278197,49.0,nM,7.31,Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12
171,CHEMBL2113444,19.0,nM,7.72,CCNC(=O)/N=N/Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
172,CHEMBL274274,6.5,nM,8.19,Nc1nc2c(NCc3ccccc3)cccc2n2c(=O)n(-c3ccccc3)nc12
173,CHEMBL16643,72.0,nM,7.14,Nc1nc2ccccc2n2c(=O)n(-c3cccc(F)c3)nc12
174,CHEMBL2113458,125.0,nM,6.9,COc1ccccc1NC(=O)/N=N/Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
175,CHEMBL2113463,180.0,nM,6.75,Nc1nc(/N=N/c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
176,CHEMBL16416,376.0,nM,6.42,COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1
177,CHEMBL2113453,1000.0,nM,6.0,Nc1nc(/N=N/NC(=O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
178,CHEMBL2113455,25.0,nM,7.6,COc1ccc(NC(=O)/N=N/Nc2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)cc1
179,CHEMBL2113457,210.0,nM,6.68,O=C(N/N=N/c1nc(NC2CCCC2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)Nc1ccccc1
180,CHEMBL2094089,38.1,nM,7.42,COc1cc(OC)cc(C(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccccc2C)c1
181,CHEMBL273094,7.89,nM,8.1,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O
182,CHEMBL945,12000.0,nM,4.92,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
183,CHEMBL193,22200.0,nM,4.65,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
184,CHEMBL309490,16700.0,nM,4.78,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12
185,CHEMBL119709,370.0,nM,6.43,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O
186,CHEMBL87496,72600.0,nM,4.14,CCOC(=O)c1sc(SCc2ccccc2)c2c1CCCC2=O
187,CHEMBL148074,4100.0,nM,5.39,Cc1cn2c(NC3CCCC3)nc(-c3ccccc3)nc2n1
188,CHEMBL144521,79.0,nM,7.1,NC[C@H]1[C@@H](O)[C@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)O[C@@H]1CO
189,CHEMBL129903,46.1,nM,7.34,NCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
190,CHEMBL358076,2600.0,nM,5.58,CCc1cn2c(NC(=O)C3CCCC3)nc(-c3ccccc3)nc2n1
