,molecule_chembl_id,Ki,units,pKi,smiles
2160,CHEMBL1270115,2.5,nM,8.6,COCCCn1c(NC(=O)c2cccc(C#N)c2)nc2ccc(C(=O)N(C)C(C)C)nc21
2161,CHEMBL1276853,3150.0,nM,5.5,Cc1nc2c(=O)n(Cc3ccccc3)nc(Cl)c2c2cc(-c3ccccc3)nn12
2162,CHEMBL1278102,7365.0,nM,5.13,Cc1nn(Cc2ccccc2)c(=O)c2ncn3nc(-c4ccsc4)cc3c12
2163,CHEMBL1277845,501.2,nM,6.3,Cc1nc2c(=O)n(Cc3ccccc3)nc(-c3ccncc3)c2c2cc(-c3ccccc3)nn12
2164,CHEMBL1277846,2490.0,nM,5.6,CCc1nc2c(=O)n(Cc3ccccc3)nc(-c3ccncc3)c2c2cc(-c3ccccc3)nn12
2165,CHEMBL1277925,772.5,nM,6.11,CCCc1nc2c(=O)n(Cc3ccccc3)nc(-c3ccncc3)c2c2cc(-c3ccccc3)nn12
2166,CHEMBL1277926,5190.0,nM,5.29,CC(C)c1nc2c(=O)n(Cc3ccccc3)nc(-c3ccncc3)c2c2cc(-c3ccccc3)nn12
2167,CHEMBL1278010,2115.0,nM,5.67,Cc1nc2c(=O)n(Cc3ccccc3)nc(-c3cccnc3)c2c2cc(-c3ccccc3)nn12
2168,CHEMBL1278104,572.1,nM,6.24,Cc1nc2c(=S)n(Cc3ccccc3)nc(-c3ccncc3)c2c2cc(-c3ccccc3)nn12
2169,CHEMBL1277025,67.9,nM,7.17,O=c1c2ncn3nc(-c4ccccc4)cc3c2c(-c2ccncc2)nn1Cc1ccccc1
2170,CHEMBL1277116,805.1,nM,6.09,O=c1c2ncn3nc(-c4ccccc4)cc3c2c(-c2cccnc2)nn1Cc1ccccc1
2171,CHEMBL1277040,1760.0,nM,5.75,CNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O
2172,CHEMBL1290436,3509.0,nM,5.46,O=C(COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)NCc1ccccc1
2173,CHEMBL1290210,2439.0,nM,5.61,C[C@H](NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1
2174,CHEMBL1289569,1460.0,nM,5.84,CC[C@H](NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1
2175,CHEMBL1289676,1925.0,nM,5.72,O=C(COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)N[C@@H](CO)c1ccccc1
2176,CHEMBL1290102,2832.0,nM,5.55,Cc1cc(-c2c(CCc3ccccc3)c3cc(OCC(=O)NC(C)(C)c4ccccc4)ccc3[nH]c2=O)on1
2177,CHEMBL1290212,1080.0,nM,5.97,CC(C)CCc1c(-c2nccs2)c(=O)[nH]c2ccc(OCC(=O)NC(C)(C)c3ccccc3)cc12
2178,CHEMBL1290324,878.0,nM,6.06,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCC(F)(F)F)c2c1)c1ccccc1
2179,CHEMBL1650152,183.0,nM,6.74,CCC(=O)Nc1nc(-c2ccc(SC)cc2)cc(-c2ccc(SC)cc2)n1
2180,CHEMBL1650164,424.0,nM,6.37,CCC(=O)Nc1nc(-c2ccccc2F)cc(-c2ccccc2F)n1
2181,CHEMBL1650165,647.0,nM,6.19,CCCC(=O)Nc1nc(-c2ccccc2F)cc(-c2ccccc2F)n1
2182,CHEMBL1650342,201.0,nM,6.7,CCCC(=O)Nc1nc(-c2cccs2)cc(-c2cccs2)n1
2183,CHEMBL1650347,1893.0,nM,5.72,CCC(=O)Nc1nc(-c2ccsc2)cc(-c2ccsc2)n1
2184,CHEMBL1650348,4568.0,nM,5.34,CCCC(=O)Nc1nc(-c2ccsc2)cc(-c2ccsc2)n1
2185,CHEMBL1650364,1334.0,nM,5.88,CC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1
2186,CHEMBL1650365,429.0,nM,6.37,CCC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1
2187,CHEMBL1650366,1829.0,nM,5.74,CCCC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1
2188,CHEMBL1650370,73.8,nM,7.13,CC(=O)Nc1cc(-c2ccccc2F)nc(-c2ccccc2F)n1
2189,CHEMBL1650371,103.0,nM,6.99,CCC(=O)Nc1cc(-c2ccccc2F)nc(-c2ccccc2F)n1
2190,CHEMBL1650372,142.0,nM,6.85,CCCC(=O)Nc1cc(-c2ccccc2F)nc(-c2ccccc2F)n1
2191,CHEMBL1650379,3345.0,nM,5.48,CC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccc3c(c2)OCO3)n1
2192,CHEMBL1650380,2541.0,nM,5.59,CCC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccc3c(c2)OCO3)n1
