,molecule_chembl_id,Ki,units,pKi,smiles,mols,maccs,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
2587,CHEMBL4287579,11200.0,nM,4.95,Cc1nc(Nc2ccccc2)sc1C(=O)c1cnc(N)n1-c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB45D20>,409.076408812,0.05,6,3,4,8,28,5,85.83000000000001,0.4600894029847271,4.847420000000003,2.520830429278048,0,0,0,2,2,4,0,0,0
2588,CHEMBL52333,108.0,nM,6.97,CCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCC)c1=O,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB45D90>,356.221226136,0.75,6,1,6,6,26,5,72.68,0.8952115783037842,2.7840000000000007,4.939342542542837,4,0,4,0,2,2,4,0,4
2589,CHEMBL320872,980.0,nM,6.01,CCCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCCC)c1=O,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF49E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB45E00>,384.252526264,0.7727272727272727,6,1,6,6,28,7,72.68,0.7931394705597244,3.5642000000000023,4.8829808264320675,4,0,4,0,2,2,4,0,4
2590,CHEMBL4284249,6.12,nM,8.21,CNc1ncc(C(=O)NC(C)(C)Cc2ccccc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4A50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB45E70>,390.18042394400004,0.23809523809523808,8,2,4,8,29,6,97.35,0.5247932358153865,3.177100000000001,2.722011538759409,0,0,0,1,3,4,0,0,0
2591,CHEMBL4276999,169.0,nM,6.77,CNc1ncc(C(=O)NCCc2ccc(OC)c(OC)c2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4AC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB45EE0>,422.17025318400005,0.23809523809523808,10,2,4,10,31,8,115.81,0.444773625016786,2.4157,2.5812689585721476,0,0,0,1,3,4,0,0,0
2592,CHEMBL4287636,29.7,nM,7.53,CNc1ncc(C(=O)NCCc2ccccc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4B30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB45F50>,362.14912381600004,0.15789473684210525,8,2,4,8,27,6,97.35,0.5465947535208862,2.3985000000000003,2.466855854729939,0,0,0,1,3,4,0,0,0
2593,CHEMBL4285036,141.0,nM,6.85,CNc1ncc(C(=O)NCc2ccc(OC)c(OC)c2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4BA0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB45FC0>,408.15460312000005,0.2,10,2,4,10,30,7,115.81,0.47883750389347074,2.3732000000000006,2.5489040864054537,0,0,0,1,3,4,0,0,0
2594,CHEMBL4285947,9390.0,nM,5.03,CNc1ncc(C(=O)NCc2ccc(-c3ccccc3)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4C10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46030>,424.16477388000004,0.08333333333333333,8,2,5,8,32,6,97.35,0.4272712403587771,4.023000000000002,2.4590252448509293,0,0,0,2,3,5,0,0,0
2595,CHEMBL4279509,47.6,nM,7.32,CNc1ncc(C(=O)NCc2ccc(F)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4C80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB460A0>,366.1240519400001,0.1111111111111111,8,2,4,9,27,5,97.35,0.563220970242731,2.4951000000000008,2.5068046600628726,0,0,0,1,3,4,0,0,0
2596,CHEMBL4287429,59.4,nM,7.23,CNc1ncc(C(=O)NCc2ccc(Cl)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4CF0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46110>,382.09450140000007,0.1111111111111111,8,2,4,9,27,5,97.35,0.5503435274892212,3.009400000000001,2.502221228110212,0,0,0,1,3,4,0,0,0
2597,CHEMBL4292012,2950.0,nM,5.53,CNc1ncc(C(=O)NCc2ccc(C(F)(F)F)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4D60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46180>,416.1208583800001,0.15789473684210525,8,2,4,11,30,5,97.35,0.5178182421630547,3.3748000000000014,2.625792403778915,0,0,0,1,3,4,0,0,0
2598,CHEMBL4283826,81.3,nM,7.09,CNc1ncc(C(=O)NCc2ccc(OC)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4DD0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB461F0>,378.144038436,0.15789473684210525,9,2,4,9,28,6,106.58,0.5303343842817434,2.3646000000000003,2.482600707055827,0,0,0,1,3,4,0,0,0
2599,CHEMBL4286354,100.0,nM,7.0,CNc1ncc(C(=O)NCc2ccc(C)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4E40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46260>,362.14912381600004,0.15789473684210525,8,2,4,8,27,5,97.35,0.5664374166719289,2.6644200000000007,2.489697559471157,0,0,0,1,3,4,0,0,0
2600,CHEMBL4294246,61.6,nM,7.21,CNc1ncc(C(=O)NC(c2ccccc2)c2ccccc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4EB0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB462D0>,424.16477388000004,0.08333333333333333,8,2,5,8,32,6,97.35,0.4284618642596426,3.945400000000002,2.544445703116068,0,0,0,2,3,5,0,0,0
2601,CHEMBL4282986,18.6,nM,7.73,CNc1ncc(C(=O)NCc2ccccc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4F20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46340>,348.13347375200004,0.1111111111111111,8,2,4,8,26,5,97.35,0.5745363194051412,2.356,2.4421626878442275,0,0,0,1,3,4,0,0,0
2602,CHEMBL4290842,11.0,nM,7.96,CNc1ncc(C(=O)OC(C)c2ccccc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF4F90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB463B0>,363.133139404,0.15789473684210525,8,1,4,8,27,5,94.55,0.5433882313147202,3.344000000000001,3.0629290327573813,0,0,0,1,3,4,0,0,0
2603,CHEMBL4294479,21.0,nM,7.68,CCc1ccc(COC(=O)c2cnc(NC)n3nc(-c4ccco4)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5000>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46420>,377.148789468,0.2,8,1,4,8,28,6,94.55,0.5149619922131833,3.3454000000000015,2.5627733566284743,0,0,0,1,3,4,0,0,0
2604,CHEMBL4284127,71.5,nM,7.15,CNc1ncc(C(=O)OCc2ccc(F)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5070>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46490>,367.108067528,0.1111111111111111,8,1,4,9,27,5,94.55,0.5420069877105089,2.9221000000000013,2.551696376039205,0,0,0,1,3,4,0,0,0
2605,CHEMBL4292571,32.5,nM,7.49,CNc1ncc(C(=O)OCc2cccc(F)c2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF50E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46500>,367.108067528,0.1111111111111111,8,1,4,9,27,5,94.55,0.5420069877105089,2.9221000000000013,2.6023590979326965,0,0,0,1,3,4,0,0,0
2606,CHEMBL4283359,24.3,nM,7.61,CNc1ncc(C(=O)OCc2ccccc2Br)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5150>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46570>,427.0280014080001,0.1111111111111111,8,1,4,9,27,5,94.55,0.48613137932479317,3.5455000000000023,2.6700082103587324,0,0,0,1,3,4,0,0,0
2607,CHEMBL4285236,71.9,nM,7.14,CNc1ncc(C(=O)OCc2ccc(Cl)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF51C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB465E0>,383.07851698800005,0.1111111111111111,8,1,4,9,27,5,94.55,0.5272754488606248,3.4364000000000017,2.5471129440865425,0,0,0,1,3,4,0,0,0
2608,CHEMBL4279340,15.7,nM,7.8,CNc1ncc(C(=O)OCc2cccc(Cl)c2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5230>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46650>,383.07851698800005,0.1111111111111111,8,1,4,9,27,5,94.55,0.5272754488606248,3.4364000000000017,2.597330103849856,0,0,0,1,3,4,0,0,0
2609,CHEMBL4288178,32.0,nM,7.5,CNc1ncc(C(=O)OCc2ccccc2Cl)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF52A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB466C0>,383.07851698800005,0.1111111111111111,8,1,4,9,27,5,94.55,0.5272754488606248,3.4364000000000017,2.5989206363942348,0,0,0,1,3,4,0,0,0
2610,CHEMBL4278397,194.0,nM,6.71,CNc1ncc(C(=O)OCc2ccc(OC)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5310>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46730>,379.12805402400005,0.15789473684210525,9,1,4,9,28,6,103.78,0.510161523852598,2.7916000000000007,2.525829766884886,0,0,0,1,3,4,0,0,0
2611,CHEMBL4278340,14.9,nM,7.83,CNc1ncc(C(=O)OCc2cccc(OC)c2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5380>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB467A0>,379.12805402400005,0.15789473684210525,9,1,4,9,28,6,103.78,0.510161523852598,2.7916000000000007,2.572775066030184,0,0,0,1,3,4,0,0,0
