,pKi,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
621,8.96,0.2727272727272727,10,2,6,13,35,5,106.54,0.4066622515311581,2.5557000000000007,2.9268334839622145,0,1,1,1,4,5,0,1,1
622,8.85,0.2727272727272727,10,2,6,12,34,5,106.54,0.4218812917252984,2.4166000000000007,2.8082006728425988,0,1,1,1,4,5,0,1,1
623,9.22,0.2727272727272727,10,2,6,12,34,5,106.54,0.4218812917252984,2.4166000000000007,2.797561512003437,0,1,1,1,4,5,0,1,1
624,9.22,0.2727272727272727,10,2,6,11,33,5,106.54,0.437400516647234,2.2775,2.729961267444116,0,1,1,1,4,5,0,1,1
625,9.3,0.2727272727272727,10,2,6,11,33,5,106.54,0.4237609551329474,2.791800000000001,2.705984582273615,0,1,1,1,4,5,0,1,1
626,9.0,0.2727272727272727,10,2,6,11,33,5,106.54,0.437400516647234,2.2775,2.7096702285860665,0,1,1,1,4,5,0,1,1
627,8.68,0.2608695652173913,11,2,6,11,34,5,130.32999999999998,0.4235886736472672,2.01008,2.8105530924230173,0,1,1,1,4,5,0,1,1
628,8.89,0.2727272727272727,11,3,6,11,33,5,126.77,0.4165113538280967,1.844,2.7568613467462573,0,1,1,1,4,5,0,1,1
629,4.95,0.3888888888888889,8,0,4,8,26,3,74.28999999999999,0.6964351912505687,0.8525999999999998,2.431194926766084,0,1,1,1,2,3,0,0,0
630,8.54,0.0,6,2,3,6,17,2,82.76,0.7169178556521449,1.5045,2.5581868895328643,0,0,0,0,3,3,0,0,0
631,8.8,0.2941176470588235,9,1,4,9,26,5,98.31,0.7347540993659158,1.1929999999999992,2.524467851102022,0,1,1,0,3,3,0,1,1
632,8.57,0.3333333333333333,9,1,4,9,27,5,92.32,0.7219884227609801,1.1081999999999994,2.525694997865285,0,1,1,0,3,3,0,1,1
633,8.28,0.2,8,1,3,8,23,5,89.08,0.7662457835514328,1.4223999999999992,2.5764705422046035,0,0,0,0,3,3,0,0,0
634,8.7,0.4,9,1,4,9,29,5,92.32,0.7031781761850968,1.7250399999999997,2.538164643486008,0,1,1,0,3,3,0,1,1
635,9.05,0.3333333333333333,8,1,4,9,27,5,87.39,0.7201858778678331,2.046,2.560324403902287,0,1,1,0,3,3,0,1,1
636,5.34,0.6428571428571429,10,4,4,11,25,4,134.78,0.5138778002843414,-0.7080000000000006,3.9683651018216,0,2,2,0,2,2,0,2,2
637,5.19,0.6428571428571429,10,4,4,10,24,4,134.78,0.533172991253914,-1.3613999999999993,3.871008782782087,0,2,2,0,2,2,0,2,2
638,4.98,0.6666666666666666,11,4,4,12,30,5,143.65,0.5037613837684297,1.199499999999999,4.000357775005647,1,1,2,0,2,2,1,1,2
639,5.42,0.1764705882352941,8,2,4,8,25,4,101.36,0.5870647243625385,1.3445999999999996,2.5208589284843352,0,0,0,1,3,4,0,0,0
640,7.0,0.2631578947368421,8,2,5,9,28,5,101.36,0.5518540828445315,1.8738,2.70990139081651,1,0,1,1,3,4,1,0,1
641,5.76,0.2222222222222222,8,2,4,9,27,5,101.36,0.5614333104789049,1.8738,2.636990896902958,0,0,0,1,3,4,0,0,0
642,5.56,0.2631578947368421,8,2,5,8,27,5,101.36,0.5644486362078257,1.7347,2.6046987429031105,1,0,1,1,3,4,1,0,1
643,5.47,0.2631578947368421,8,2,4,8,27,6,101.36,0.5470589813954255,2.1248,2.5282200446782586,0,0,0,1,3,4,0,0,0
644,9.22,0.0769230769230769,7,1,3,7,20,3,85.84,0.7841506810813326,1.8807,2.4968173869033734,0,0,0,0,3,3,0,0,0
645,7.8,0.1428571428571428,6,1,4,8,29,6,80.91000000000001,0.4918014458711772,4.878920000000004,2.549339097345401,0,0,0,1,3,4,0,0,0
646,8.12,0.1,7,1,4,9,29,6,90.14,0.5089853949812837,4.325120000000003,2.5303319544882577,0,0,0,1,3,4,0,0,0
647,9.15,0.2608695652173913,9,1,4,9,32,6,107.96,0.4925112856696565,3.8769000000000022,2.73251866547286,0,0,0,0,4,4,0,0,0
648,8.43,0.2727272727272727,10,1,4,10,32,6,120.85,0.4917389288881589,3.2719000000000023,2.7952048193190144,0,0,0,0,4,4,0,0,0
649,9.52,0.3076923076923077,10,1,4,10,36,9,107.54,0.3760141200606191,3.935260000000003,2.717347665441979,0,0,0,1,3,4,0,0,0
650,9.7,0.3076923076923077,10,1,4,10,36,9,107.54,0.3760141200606191,3.935260000000002,2.6719199426697013,0,0,0,1,3,4,0,0,0
651,9.52,0.28,9,1,4,9,34,8,98.31,0.4253954737197602,3.9266600000000023,2.591620996269171,0,0,0,1,3,4,0,0,0
