,molecule_chembl_id,Ki,units,pKi,smiles,molecular_weight,n_hba,n_hbd,logp,passed
127,CHEMBL101525,58000.0,nM,4.24,Cn1c(=O)c2nn(C3CCCC3)nc2n(C)c1=O,249.12257472,7,0,-0.05620000000000003,True
128,CHEMBL100346,10000.0,nM,5.0,CCCn1c(=O)c2c(nnn2C2CCCC2)n(CCC)c1=O,305.185174976,7,0,1.6898,True
129,CHEMBL158507,2100.0,nM,5.68,CCCn1c(=O)c2nc(-c3ccccc3)[nH]c2n(CCC)c1=O,312.15862588,6,1,2.3733000000000004,True
130,CHEMBL339522,39.0,nM,7.41,OC[C@H]1O[C@@H](n2cnc3c(NCCc4cccc(Cl)c4)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O,488.19388108800007,10,5,2.1003000000000003,True
131,CHEMBL128176,5.1,nM,8.29,Nc1nc(NC2CCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,350.1702531839999,10,6,-0.6255,True
132,CHEMBL131175,36.0,nM,7.44,OC[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O,530.264153568,10,5,3.036300000000002,True
133,CHEMBL131280,171.0,nM,6.77,OC[C@H]1O[C@@H](n2cnc3c(NC4CCC[C@@H]4O)nc(Cl)nc32)[C@H](O)[C@@H]1O,385.11529642,10,5,-0.5835000000000004,True
134,CHEMBL284969,17.0,nM,7.77,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,369.12038179999996,9,4,0.4456999999999996,True
135,CHEMBL446616,25.0,nM,7.6,OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc5ccccc45)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O,490.23285344,10,5,2.557600000000001,True
136,CHEMBL416537,14.6,nM,7.84,Cc1cccc(-n2nc3c(N)nc4ccccc4n3c2=O)c1,291.112010036,6,2,1.9240199999999998,True
137,CHEMBL416354,18.7,nM,7.73,Nc1cccc2c1nc(N)c1nn(-c3ccccc3)c(=O)n12,292.107259004,7,4,1.1977999999999998,True
138,CHEMBL273578,85.8,nM,7.07,Cc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,291.112010036,6,2,1.9240199999999998,True
139,CHEMBL2113464,720.0,nM,6.14,Nc1nc(N=O)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,296.08691748399997,11,5,-1.5821000000000007,True
140,CHEMBL274267,1370.0,nM,5.86,O=c1n(-c2ccccc2)nc2c(NC3CCCCC3)nc3ccccc3n12,359.17461029200007,6,1,3.7780000000000022,True
141,CHEMBL279870,66.0,nM,7.18,O=c1n(-c2cccc(F)c2)nc2c(NC3CCCCC3)nc3ccccc3n12,377.16518848000004,6,1,3.917100000000003,True
142,CHEMBL278197,49.0,nM,7.31,Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12,277.096359972,6,2,1.6156,True
143,CHEMBL274274,6.5,nM,8.19,Nc1nc2c(NCc3ccccc3)cccc2n2c(=O)n(-c3ccccc3)nc12,382.154209196,7,3,3.2277000000000013,True
144,CHEMBL16643,72.0,nM,7.14,Nc1nc2ccccc2n2c(=O)n(-c3cccc(F)c3)nc12,295.08693816000005,6,2,1.7547,True
145,CHEMBL2113463,180.0,nM,6.75,Nc1nc(/N=N/c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,371.13420202399993,11,5,0.4353999999999996,True
146,CHEMBL16416,376.0,nM,6.42,COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,307.106924656,7,2,1.6241999999999999,True
147,CHEMBL273094,7.89,nM,8.1,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,428.21720337600004,10,4,0.8270000000000007,True
148,CHEMBL945,12000.0,nM,4.92,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,229.04788555599998,8,8,-1.0823299999999998,True
149,CHEMBL193,22200.0,nM,4.65,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],346.11648629599995,8,1,2.1756,True
150,CHEMBL309490,16700.0,nM,4.78,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,270.05282342000004,5,3,2.576800000000001,True
151,CHEMBL119709,370.0,nM,6.43,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,510.051251088,10,4,0.40819999999999884,True
152,CHEMBL87496,72600.0,nM,4.14,CCOC(=O)c1sc(SCc2ccccc2)c2c1CCCC2=O,346.06973643599997,3,0,4.736100000000003,True
153,CHEMBL148074,4100.0,nM,5.39,Cc1cn2c(NC3CCCC3)nc(-c3ccccc3)nc2n1,293.16404560800004,5,1,3.454220000000002,True
154,CHEMBL144521,79.0,nM,7.1,NC[C@H]1[C@@H](O)[C@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)O[C@@H]1CO,496.071986532,9,5,0.8684999999999996,True
155,CHEMBL358076,2600.0,nM,5.58,CCc1cn2c(NC(=O)C3CCCC3)nc(-c3ccccc3)nc2n1,335.17461029200007,6,1,3.482400000000002,True
156,CHEMBL302376,534.0,nM,6.27,NC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,266.112738308,9,6,-2.013599999999999,True
157,CHEMBL281805,0.22,nM,9.66,Nc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,374.160357196,9,4,2.5312,True
158,CHEMBL149732,2500.0,nM,5.6,O=C(Nc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cn12)C1CCCC1,383.17461029200007,6,1,4.587000000000003,True
159,CHEMBL147582,3200.0,nM,5.5,CC(=O)Nc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,329.12766010000007,6,1,3.4167000000000014,True
160,CHEMBL132629,67.0,nM,7.17,N[C@H]1[C@@H](O)[C@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)O[C@@H]1CO,482.056336468,9,5,0.6208999999999993,True
161,CHEMBL355898,4300.0,nM,5.37,Cc1cn2c(NC(=O)C3CCCC3)nc(-c3ccccc3)nc2n1,321.15896022800007,6,1,3.2284200000000016,True
162,CHEMBL358341,682.0,nM,6.17,Cc1cn2c(N)nc(-c3ccccc3)nc2n1,225.10144535199998,5,2,1.6819199999999996,True
163,CHEMBL2112095,100000.0,nM,4.0,Nc1ncnc2c1ncn2[C@@]12C[C@H]1[C@H](CO)[C@@H](O)[C@H]2O,277.11748934,8,5,-1.5324,True
164,CHEMBL350830,66.0,nM,7.18,CCCCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,494.0814339480001,10,2,4.940600000000003,True
165,CHEMBL165073,335.0,nM,6.47,CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,387.14437278400004,9,1,2.935100000000001,True
166,CHEMBL329791,1390.0,nM,5.86,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,404.134536372,11,2,2.9236000000000004,True
167,CHEMBL353299,401.0,nM,6.4,CCCn1cc2c(nc(NC(=O)Nc3ccc(Cl)c(Cl)c3)n3nc(-c4ccco4)nc23)n1,470.07732711200003,10,2,5.094800000000003,True
168,CHEMBL141550,9.5,nM,8.02,O=C(Nc1cccc(Cl)c1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,438.03987898400004,8,2,5.488300000000002,True
169,CHEMBL165778,42.0,nM,7.38,CCCn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,420.1458500040001,10,2,3.927100000000002,True
170,CHEMBL165620,50.0,nM,7.3,CCCCn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,434.1615000680001,10,2,4.317200000000002,True
171,CHEMBL324512,594.0,nM,6.23,Cn1cc2c(nc(NC(=O)Nc3ccc(S(=O)(=O)O)cc3)n3nc(-c4ccco4)nc23)n1,454.08078654800005,13,3,2.1616999999999997,True
172,CHEMBL349019,143.0,nM,6.84,Cn1cc2c(nc(NC(=O)Nc3ccc(Cl)c(Cl)c3)n3nc(-c4ccco4)nc23)n1,442.0460269840001,10,2,4.221800000000002,True
173,CHEMBL348925,100.0,nM,7.0,Cn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,452.0344837560001,10,2,3.677500000000001,True
174,CHEMBL424161,111.0,nM,6.96,CCCCn1cc2c(nc(NC(=O)Nc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,450.13194952800006,10,2,4.831500000000004,True
175,CHEMBL165083,576.0,nM,6.24,CCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,432.12945099200005,12,2,3.1266000000000007,True
176,CHEMBL164509,34.0,nM,7.47,CCCn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,470.1426564440001,10,2,4.806800000000003,True
177,CHEMBL423934,95.0,nM,7.02,CCCCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,450.13194952800006,10,2,4.831500000000004,True
178,CHEMBL164685,60.0,nM,7.22,CCn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,406.13019994000007,10,2,3.537000000000001,True
179,CHEMBL349716,100.0,nM,7.0,CCCCn1cc2c(nc(NC(=O)Nc3ccccc3Cl)n3nc(-c4ccco4)nc23)n1,450.13194952800006,10,2,4.831500000000003,True
180,CHEMBL167915,503.0,nM,6.3,CCCCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,461.15600008800004,13,2,4.086300000000002,True
